,,,,
,,,,
Week,Class,#,Topic,Lab
5,13,12A,Explain OS Types,
5,13,12B,Compare Windows Editions,
5,13,13A,Perform OS Installations and Upgrades,Assisted Lab: Perform Windows 10 Installation
5,13,13A,Perform OS Installations and Upgrades,Assisted Lab: Perform Ubuntu Linux Installation
6,14,13B,Install and Configure Applications,Assisted Lab: Install and Configure an Application
6,14,13C,Troubleshoot Windows OS Problems,Assisted Lab: Troubleshoot Systems and Services
6,14,13C,Troubleshoot Windows OS Problems,Assisted Lab: Troubleshoot a Windows OS Issue
6,14,,Review,
6,14,14A,Configure Windows Networking,
6,15,14B,Troubleshoot Windows Networking,Assisted Lab: Configure Windows Networking
6,15,14C,Configure Windows Security Settings,
6,15,14D,Manage Windows Shares,Assisted Lab: Configure Folder Sharing in a Workgroup
6,15,14D,Manage Windows Shares,Assisted Lab: Support Active Directory Networking
6,W-3,,Workshop,
7,16,15A,Identify Features of Linux,Assisted Lab: Manage Linux Using Command-line Tools
7,16,15A,Identify Features of Linux,Assisted Lab: Manage Files Using Linux Command-line Tools
7,16,15B,Identify Features of macOS,APPLIED Lab: Support and Troubleshoot Network Hosts
7,16,16A,"Explain Attacks, Threats, and Vulnerabilities",
7,16,16B,Compare Wireless Security Protocols,
7,17,16C,Configure SOHO Router Security,Assisted Lab: Configure SOHO Router Security
7,17,16D,Summarize Security Measures,
7,17,17A,Configure Workstation Security,Assisted Lab: Configure Workstation Security
7,17,17B,Configure Browser Security,Assisted Lab: Configure Browser Security
7,18,17C,Troubleshoot Workstation Security Issues,Assisted Lab: Troubleshoot Security Issues Scenario #1
7,18,17C,Troubleshoot Workstation Security Issues,APPLIED Lab: Troubleshoot Security Issues Scenario #2
7,18,18A,Configure Mobile OS Security,
7,18,18B,Troubleshoot Mobile OS and Applications Software,
7,18,18C,Troubleshoot Mobile OS and Applications Security,
8,19,19A,Use Remote Access Technologies,Assisted Lab: Use Remote Access Technologies
8,19,19B,Implement Backup and Recovery,Assisted Lab: Implement Backup and Recovery
8,19,19C,Explain Data Handling Best Practices,
8,19,19D,Identify Basics of Scripting,Assisted Lab: Implement a PowerShell Script
8,19,19D,Identify Basics of Scripting,Assisted Lab: Implement a Bash Script
8,20,20A,Implement Best Practice Documentation,Assisted Lab: Manage a Support Ticket
8,20,20B,Use Proper Communication Techniques,
8,20,20C,Use Common Safety and Environmental Procedures,
8,20,,Course Summary,
8,W-4,,Workshop,
